species_name,value_usd,share_pct
"duck hawk, peregrine, peregrine falcon, halcón blancuzco, halcón común, halcón peregrino, halcón real, halcón viajero, faucon pèlerin",179189.4,0.0005852008088601336
"common wolf, grey wolf, timber wolf, wolf, lobo, lobo común, loup, loup gris, loup vulgaire",176286.9129,0.0005757218006228936
sea anemones / stony corals / soft corals / sea pens,169217.1,0.0005526330452190036
martin,166666.0,0.0005443016049469614
"eagle owl, eurasian eagle-owl, búho real, grand-duc d'europe, hibou grand-duc",163296.0,0.0005332957824716439
"amazons, macaws, parakeets, parrots, amazonas, cotorras, guacamayos, periquitos, loros, amazones, aras, perruches, perroquets",161392.943,0.0005270807357350237
"java rock python, regal python, reticulated python, pitón reticulada, python réticulé",159072.6947,0.0005195032161835527
buddhist pine,158724.0,0.0005183644411193734
"giant clams, almejas gigantes, bénitiers",157757.78,0.0005152089379169695
"ostrich, avestruz, autruche d'afrique",155140.24,0.0005066605163852062
"hinoki cypress, hinoki falsecypress",149203.8,0.0004872731559177362
cape rock lobster,143355.2,0.00046817266531561715
silky shark,140761.99954,0.00045970373240592226
brown sea cucumber,135134.0,0.00044132368379215124
"giant seahorse, pacific seahorse, caballito de mar del pacífico, hippocampe marin",135134.0,0.00044132368379215124
"hawks, eagles, gavilanes, águilas, aigles, milan de wilson, pygargues",132636.0,0.0004331656587051058
rattan,131840.0,0.0004305660638414997
"chengal, penak, chan ta khien, chi-ngamat, takian chan, takian chantamaeo",129659.0,0.0004234433045481266
"bornean ironwood, billian, ulin",127685.432,0.0004169979813876021
"jelutong, jelutung",126708.0,0.0004138058617811646
"marine turtles, sea turtles, tortugas marinas, tortues marines",126431.42599999999,0.0004129026201356784
"vicugna, vicuña, vigogne",120000.0,0.00039189872315670483
"alligators, caimans, aligatores, caimanes",116476.13,0.0003803903885436197
oceanic whitetip shark,114351.7,0.000373452376839988
red-eared slider,110516.83,0.0003609283713693884
"magkuno, philippine ironwood",105473.448,0.00034445757998445917
american eel,105000.0,0.0003429113827621167
finches,102000.0,0.0003331139146831991
bharal,97947.4,0.00031987884163765855
"angonoka, madagascar angulated tortoise, madagascar tortoise, tortuga de espolones, tortuga de madagascar, tortuga globulosa malagache, tortue à éperon, tortue à plastron éperonné, tortue à soc, tortue à soc de madagascar, tortue de madagascar, ploughshare tortoise",96744.0,0.0003159487506089354
indochinese tiger,94978.6,0.00031018326722676167
"blackfin pacu, cachama, pacu, red-bellied pacu, tambaqui",94665.0,0.0003091591052302455
"red lauan, red lawaan",93257.28,0.0003045617413088942
"jaguar, jaguar, otorongo, tigre americano, tigre real, yaguar, yaguarete",89760.82,0.00029314292289582344
"hippopotamus, large hippo, hipopótamo, hippopotame, hippopotame amphibie",87036.4787,0.00028424570725488115
"beluga, european sturgeon, giant sturgeon, great sturgeon, russian sturgeon, beluga, cola de pescado, esturión, esturión beluga, beluga, grand esturgeon, ichtyocolle",86732.7,0.0002832536198827794
plains zebra,85231.773,0.00027835185842568425
"white lauan, white lawaan",84292.67,0.0002752849145372456
"bears, osos, ours",80373.822,0.00026248665180853557
"honey bee tree, kayu raja, mangaris, tahid, tanid, tanyit, tapang, tualang, bangris, sialang",79853.6,0.00026078769899555204
"acapu, sara, tatbu",76924.48999999999,0.0002512217450873392
"radiated tortoise, tortuga estrellada de madagascar, tortuga rayada, tortue radiée de madagascar, tortue rayonnée",76096.4,0.0002485173499735156
"parrots, perroquets",75001.94,0.00024494303766896486
"orchids, orquideas, orchidées",75000.0,0.0002449367019729405
wildebeests,74430.7039,0.00024307748185053974
capybara,67535.0,0.0002205573355699005
"yellow-headed sideneck, yellow-spotted river turtle, yellow-spotted sideneck turtle, terecay, podocnémide de cayenne",67125.0,0.00021921834826578175
streaked prochilod,67125.0,0.00021921834826578175
"chinese pangolin, pangolín chino, pangolin à queue courte, pangolin de chine",64994.596,0.00021226082653738227
"moluccan lory, red lory, lori rojo, lori écarlate",63997.6,0.00020900481437577942
mayapis,63739.169,0.00020816082455141186
benguet pine,62794.9,0.00020507700942294137
"shortfin mako, atlantic mako, blue pointer, blue shark, bonito shark, mackerel shark, sharp-nosed shark",62500.0,0.00020411391831078374
"african sandalwood, watta bush, camwood",61747.979999999996,0.00020165795432921455
"yellow balau, balau, bangkirai, benuas",61345.0,0.00020034189310040048
brazilwood,60297.9,0.00019692225015858892
"colombian slider, venezuelan slider",58904.31,0.00019237103231188932
"sahara mastigure, saharan spiny-tailed lizard, lagarto de cola espinosa de geyr, fouette-queue du sahara",58076.8,0.0001896685313752276
